fetures,p.val,p.adjust
AC078795.2_MSTRG.63620,0.0502460950896789,0.586219828756555
EIF4A2P1_MSTRG.40652,0.0174727892983415,0.267928805438472
-_MSTRG.4254,NA,NA
-_MSTRG.50,NA,NA
-_MSTRG.38925,NA,NA
MIR4441_MSTRG.53187,0.144216444598154,1
MIRLET7C_MSTRG.56229,0.0909305408864061,0.906383255376219
AC015977.1_MSTRG.47001,0.192906250255553,1
-_MSTRG.48713,NA,NA
-_MSTRG.74413,NA,NA
AC107081.1_MSTRG.47968,0.0610051826354298,0.675976523323607
-_MSTRG.75243,NA,NA
-_MSTRG.88303,NA,NA
-_MSTRG.29969,NA,NA
-_MSTRG.72334,NA,NA
-_MSTRG.45262,NA,NA
-_MSTRG.68498,NA,NA
AC126544.1_MSTRG.38304,0.0643956883854566,0.703019595976217
-_MSTRG.24376,NA,NA
-_MSTRG.26247,NA,NA
-_MSTRG.17597,NA,NA
-_MSTRG.56948,NA,NA
-_MSTRG.51516,NA,NA
-_MSTRG.9206,NA,NA
AC008875.1_MSTRG.70268,0.566809327339193,1
CYP51A1P1_MSTRG.61499,3.75627086710716e-08,4.60623634471071e-06
AC114964.1_MSTRG.69629,0.728641479380832,1
-_MSTRG.3399,NA,NA
RPL8P2_MSTRG.56571,0.251766627493248,1
-_MSTRG.28262,NA,NA
-_MSTRG.70755,NA,NA
-_MSTRG.57977,NA,NA
-_MSTRG.73842,NA,NA
AC010999.2_MSTRG.30309,0.678582289938979,1
-_MSTRG.74617,NA,NA
-_MSTRG.60668,NA,NA
SPIC_MSTRG.21998,7.25891217869336e-05,0.00302280307350445
-_MSTRG.17678,NA,NA
-_MSTRG.73062,NA,NA
TRBV6-7_MSTRG.83305,0.102957944055407,0.991593130601204
-_MSTRG.70490,NA,NA
-_MSTRG.6883,NA,NA
-_MSTRG.75608,NA,NA
-_MSTRG.32077,NA,NA
-_MSTRG.17354,NA,NA
-_MSTRG.25836,NA,NA
PNPLA1_MSTRG.75548,0.954662845436686,1
-_MSTRG.84832,NA,NA
-_MSTRG.545,NA,NA
-_MSTRG.60226,NA,NA
-_MSTRG.70100,NA,NA
AC011491.2_MSTRG.42648,0.896846673471893,1
-_MSTRG.55911,NA,NA
MIMT1_MSTRG.46125,0.152166927124962,1
-_MSTRG.27405,NA,NA
CLEC4GP1_MSTRG.42758,0.0855319877463524,0.867953180440734
-_MSTRG.30822,NA,NA
MIR3117_MSTRG.3454,0.401447745364917,1
-_MSTRG.32650,NA,NA
-_MSTRG.4251,NA,NA
-_MSTRG.71101,NA,NA
-_MSTRG.66816,NA,NA
-_MSTRG.17030,NA,NA
PPIAP58_MSTRG.44074,0.0292309938073018,0.394964843935689
-_MSTRG.14051,NA,NA
RNY1P14_MSTRG.67960,0.896750620284593,1
AC023310.2_MSTRG.28905,0.992126860393647,1
-_MSTRG.31504,NA,NA
-_MSTRG.47514,NA,NA
AL162385.2_MSTRG.90444,0.0625111531924186,0.688011376327872
AC104561.4_MSTRG.84753,0.924979848873856,1
-_MSTRG.20204,NA,NA
AL035425.1_MSTRG.94504,0.588681988407192,1
-_MSTRG.89324,NA,NA
-_MSTRG.82138,NA,NA
-_MSTRG.92762,NA,NA
UBE2D3P2_MSTRG.60210,0.99942658562705,1
-_MSTRG.8228,NA,NA
RNU6-388P_MSTRG.80004,0.62583747493907,1
GGTA2P_MSTRG.21061,0.791081756439578,1
-_MSTRG.38658,NA,NA
-_MSTRG.31903,NA,NA
AC079089.1_MSTRG.86223,0.00734638816484258,0.134856413553403
MIR6071_MSTRG.48651,0.448522649988093,1
-_MSTRG.86352,NA,NA
-_MSTRG.91857,NA,NA
-_MSTRG.3685,NA,NA
KRT3_MSTRG.20435,0.14700324776155,1
-_MSTRG.73479,NA,NA
HMGN1P7_MSTRG.61623,0.67175170401907,1
-_MSTRG.29447,NA,NA
-_MSTRG.56552,NA,NA
-_MSTRG.56213,NA,NA
-_MSTRG.12082,NA,NA
-_MSTRG.95184,NA,NA
-_MSTRG.36032,NA,NA
-_MSTRG.85994,NA,NA
-_MSTRG.36284,NA,NA
-_MSTRG.60574,NA,NA
AL359715.1_MSTRG.76711,0.0493037058480286,0.578663074717224
AC097721.1_MSTRG.50440,0.216701683841628,1
-_MSTRG.71569,NA,NA
UMODL1-AS1_MSTRG.57044,0.638681711596849,1
-_MSTRG.59457,NA,NA
-_MSTRG.51076,NA,NA
AC079598.3_MSTRG.21561,0.0378088292928344,0.478239176878239
-_MSTRG.45048,NA,NA
LINC00412_MSTRG.23653,0.324161864401547,1
-_MSTRG.24273,NA,NA
-_MSTRG.52654,NA,NA
-_MSTRG.45716,NA,NA
-_MSTRG.68022,NA,NA
-_MSTRG.76782,NA,NA
-_MSTRG.64613,NA,NA
-_MSTRG.1496,NA,NA
-_MSTRG.58406,NA,NA
-_MSTRG.87614,NA,NA
-_MSTRG.72848,NA,NA
-_MSTRG.62694,NA,NA
AC003956.1_MSTRG.43336,0.000760520147379574,0.0216476261113765
-_MSTRG.23314,NA,NA
AL513365.2_MSTRG.1706,0.533714370887703,1
-_MSTRG.88551,NA,NA
-_MSTRG.64157,NA,NA
-_MSTRG.49618,NA,NA
-_MSTRG.54542,NA,NA
-_MSTRG.80969,NA,NA
-_MSTRG.75282,NA,NA
-_MSTRG.48589,NA,NA
-_MSTRG.12052,NA,NA
-_MSTRG.81779,NA,NA
AC004943.1_MSTRG.35070,0.816204352586542,1
-_MSTRG.72385,NA,NA
-_MSTRG.67273,NA,NA
-_MSTRG.61753,NA,NA
RNU6-1003P_MSTRG.69669,0.0566965828823724,0.641929261318754
-_MSTRG.12072,NA,NA
-_MSTRG.49911,NA,NA
-_MSTRG.17272,NA,NA
-_MSTRG.61802,NA,NA
U47924.3_MSTRG.18900,0.231218275852763,1
-_MSTRG.71187,NA,NA
-_MSTRG.83919,NA,NA
H2AFB2_MSTRG.95711,0.894651599653116,1
-_MSTRG.38927,NA,NA
-_MSTRG.54107,NA,NA
-_MSTRG.40679,NA,NA
-_MSTRG.26885,NA,NA
-_MSTRG.54210,NA,NA
AC006210.2_MSTRG.92641,0.182576482459552,1
-_MSTRG.9814,NA,NA
AL606490.9_MSTRG.93107,0.0554876797968875,0.631595327725824
-_MSTRG.73000,NA,NA
RN7SL130P_MSTRG.3380,0.59826074684801,1
ACTBP8_MSTRG.76924,0.735384384365596,1
FRG2KP_MSTRG.33828,0.462089974911652,1
AC011753.3_MSTRG.49529,0.703321006301776,1
-_MSTRG.83460,NA,NA
RPS7P12_MSTRG.95103,0.363479165669387,1
-_MSTRG.55115,NA,NA
-_MSTRG.47331,NA,NA
-_MSTRG.7343,NA,NA
-_MSTRG.51225,NA,NA
UBE2NL_MSTRG.95315,0.0146188601878582,0.232097101303955
-_MSTRG.35034,NA,NA
-_MSTRG.73211,NA,NA
-_MSTRG.62268,NA,NA
HMGN2P21_MSTRG.48277,0.0839435250983485,0.85636606112424
-_MSTRG.79335,NA,NA
-_MSTRG.6058,NA,NA
AP001596.1_MSTRG.56428,0.406126326564229,1
Z94721.3_MSTRG.78872,0.0346035731432137,0.447491456000407
AP005131.6_MSTRG.40684,0.617169660654032,1
-_MSTRG.44682,NA,NA
-_MSTRG.27556,NA,NA
SCOCP1_MSTRG.27029,0.784174343143422,1
-_MSTRG.26695,NA,NA
-_MSTRG.9995,NA,NA
-_MSTRG.74861,NA,NA
-_MSTRG.30624,NA,NA
AC140847.2_MSTRG.19816,0.27996661836536,1
-_MSTRG.52080,NA,NA
AL691432.1_MSTRG.515,0.368933494028567,1
-_MSTRG.83004,NA,NA
-_MSTRG.17406,NA,NA
-_MSTRG.84654,NA,NA
FOSL1P1_MSTRG.67697,0.43363132135213,1
-_MSTRG.19460,NA,NA
-_MSTRG.39252,NA,NA
-_MSTRG.11326,NA,NA
HCG4P8_MSTRG.75062,0.288814853066266,1
MIR4766_MSTRG.58858,0.118770805607205,1
Z69890.1_MSTRG.32158,0.00717794804364072,0.132688238506985
PPIAP65_MSTRG.50115,0.00216102834751644,0.0509278322970018
-_MSTRG.84843,NA,NA
-_MSTRG.54003,NA,NA
-_MSTRG.16825,NA,NA
-_MSTRG.63906,NA,NA
B3GALT2_MSTRG.7261,0.000148693928010058,0.00550702779558937
AP000553.6_MSTRG.57816,0.614388534152112,1
-_MSTRG.580,NA,NA
-_MSTRG.77619,NA,NA
-_MSTRG.11924,NA,NA
-_MSTRG.72023,NA,NA
-_MSTRG.1805,NA,NA
FAR1-IT1_MSTRG.14233,0.357518219624335,1
-_MSTRG.41402,NA,NA
-_MSTRG.49587,NA,NA
-_MSTRG.76191,NA,NA
HSPE1P8_MSTRG.2387,0.232206975203051,1
-_MSTRG.27613,NA,NA
SSBP3-AS1_MSTRG.3127,0.349908375996398,1
-_MSTRG.53901,NA,NA
DEFB131C_MSTRG.84376,0.454673636533614,1
-_MSTRG.82439,NA,NA
-_MSTRG.86559,NA,NA
-_MSTRG.50214,NA,NA
AP002433.1_MSTRG.17606,0.0549793309943322,0.627502191197216
AC021066.2_MSTRG.20382,0.244301422358399,1
-_MSTRG.64346,NA,NA
-_MSTRG.26389,NA,NA
-_MSTRG.9573,NA,NA
-_MSTRG.83391,NA,NA
H2AFZP2_MSTRG.86233,0.0158498002701183,0.248012144144838
-_MSTRG.87980,NA,NA
-_MSTRG.51629,NA,NA
ZRANB2-AS1_MSTRG.3571,0.0250749867769839,0.350484838369878
-_MSTRG.20985,NA,NA
-_MSTRG.23652,NA,NA
-_MSTRG.59419,NA,NA
-_MSTRG.70479,NA,NA
Y_RNA_MSTRG.28241,0.786562004640601,1
-_MSTRG.81416,NA,NA
-_MSTRG.27245,NA,NA
NMRAL2P_MSTRG.64106,0.0298273827042862,0.400075774880003
RPL7P18_MSTRG.71517,0.0956440223615871,0.943115343455163
-_MSTRG.30065,NA,NA
-_MSTRG.59030,NA,NA
-_MSTRG.63947,NA,NA
-_MSTRG.11349,NA,NA
-_MSTRG.37191,NA,NA
AL163973.1_MSTRG.26240,0.196944022085405,1
CALR4P_MSTRG.2953,0.987951777905359,1
AC015720.2_MSTRG.31059,0.16852886714977,1
-_MSTRG.71810,NA,NA
-_MSTRG.19724,NA,NA
AC099791.2_MSTRG.3302,0.0106339795868667,0.181612872426066
KRT8P20_MSTRG.80177,1.20157253924063e-09,2.23291347997034e-07
-_MSTRG.25856,NA,NA
-_MSTRG.50284,NA,NA
PRSS29P_MSTRG.32281,0.952164375059297,1
SPTLC1P5_MSTRG.24765,0.862697633499937,1
-_MSTRG.69072,NA,NA
-_MSTRG.38943,NA,NA
-_MSTRG.19182,NA,NA
RPL7AP14_MSTRG.54635,0.107600464200346,1
-_MSTRG.23704,NA,NA
AC092338.3_MSTRG.33303,0.116720872932183,1
-_MSTRG.79039,NA,NA
-_MSTRG.40813,NA,NA
OR7E126P_MSTRG.16459,0.0643849208566317,0.703019595976217
-_MSTRG.87681,NA,NA
-_MSTRG.30041,NA,NA
TRAJ25_MSTRG.25925,0.973525993510412,1
-_MSTRG.49222,NA,NA
AL353708.1_MSTRG.6911,0.101978590629935,0.985084695931571
ANKRD20A21P_MSTRG.54285,0.335584271571335,1
-_MSTRG.36558,NA,NA
AC002553.2_MSTRG.36543,0.437475416133798,1
Y_RNA_MSTRG.66704,0.653713272992889,1
YES1P1_MSTRG.58145,0.0858814225743111,0.870661362623105
-_MSTRG.72789,NA,NA
-_MSTRG.19122,NA,NA
-_MSTRG.3717,NA,NA
AC025287.3_MSTRG.35164,0.557880127283822,1
-_MSTRG.20679,NA,NA
-_MSTRG.94885,NA,NA
-_MSTRG.67246,NA,NA
-_MSTRG.68377,NA,NA
-_MSTRG.56460,NA,NA
-_MSTRG.56488,NA,NA
-_MSTRG.92386,NA,NA
AC005839.1_MSTRG.38679,0.218049082789334,1
-_MSTRG.42385,NA,NA
TAFA1_MSTRG.61261,0.435170936303423,1
RPS26P38_MSTRG.11885,0.402276946066167,1
PRR26_MSTRG.9346,0.00010912526017362,0.00426235182885555
-_MSTRG.11686,NA,NA
RNU6-35P_MSTRG.67274,0.363263436647546,1
POTEH_MSTRG.57435,0.184967281144505,1
-_MSTRG.38100,NA,NA
-_MSTRG.75685,NA,NA
-_MSTRG.67896,NA,NA
MIR3907_MSTRG.83677,0.700241569107974,1
-_MSTRG.83714,NA,NA
-_MSTRG.49143,NA,NA
-_MSTRG.83931,NA,NA
-_MSTRG.74568,NA,NA
-_MSTRG.72847,NA,NA
-_MSTRG.78860,NA,NA
AL583856.2_MSTRG.76464,0.0936267194483055,0.92799566099796
AL162414.1_MSTRG.90783,0.00432299286332399,0.0874214434067398
-_MSTRG.21968,NA,NA
TRAJ61_MSTRG.25918,0.951535617737771,1
-_MSTRG.62120,NA,NA
-_MSTRG.27926,NA,NA
PPIAP67_MSTRG.51302,0.793537937543578,1
AC098859.2_MSTRG.67871,0.94492436879926,1
-_MSTRG.26129,NA,NA
AL360091.1_MSTRG.7986,0.205972495135769,1
-_MSTRG.10360,NA,NA
-_MSTRG.53112,NA,NA
-_MSTRG.26442,NA,NA
PIGCP1_MSTRG.14677,0.0893691110315112,0.895474246972273
-_MSTRG.29289,NA,NA
ATP5MGL_MSTRG.58994,0.326229321231877,1
-_MSTRG.50022,NA,NA
-_MSTRG.57138,NA,NA
-_MSTRG.27978,NA,NA
RNU6-936P_MSTRG.46920,0.136022060975758,1
-_MSTRG.8196,NA,NA
-_MSTRG.20966,NA,NA
-_MSTRG.64726,NA,NA
AC015909.1_MSTRG.38596,0.000324753031767832,0.0105950362661208
-_MSTRG.11186,NA,NA
AC010680.5_MSTRG.51397,0.375229335389179,1
-_MSTRG.63980,NA,NA
-_MSTRG.64614,NA,NA
-_MSTRG.51067,NA,NA
-_MSTRG.63463,NA,NA
-_MSTRG.80413,NA,NA
-_MSTRG.77460,NA,NA
AC007563.3_MSTRG.52374,0.54615759022929,1
RPL17P25_MSTRG.76709,0.507040158269177,1
AP001059.3_MSTRG.57194,0.385801304810842,1
AC234778.1_MSTRG.95279,0.45831227107949,1
-_MSTRG.15602,NA,NA
MIR4744_MSTRG.41423,0.43712968259649,1
-_MSTRG.91883,NA,NA
RNU6-625P_MSTRG.39849,0.757573503302032,1
-_MSTRG.39482,NA,NA
-_MSTRG.58122,NA,NA
-_MSTRG.35649,NA,NA
RNU6-313P_MSTRG.81034,0.246977312661904,1
-_MSTRG.86633,NA,NA
IL13_MSTRG.72327,0.77103417438616,1
-_MSTRG.94251,NA,NA
AL008707.1_MSTRG.94897,0.00732499552437459,0.134580841115077
-_MSTRG.64466,NA,NA
-_MSTRG.62692,NA,NA
-_MSTRG.38952,NA,NA
-_MSTRG.12983,NA,NA
AL132640.1_MSTRG.27268,0.495157834131848,1
PPIAP33_MSTRG.88449,0.00288469445994838,0.0638781895529987
-_MSTRG.47040,NA,NA
-_MSTRG.40503,NA,NA
SNORD113-3_MSTRG.28320,0.451452956053225,1
-_MSTRG.38973,NA,NA
-_MSTRG.80329,NA,NA
-_MSTRG.90151,NA,NA
-_MSTRG.51371,NA,NA
-_MSTRG.13645,NA,NA
AL158032.1_MSTRG.23446,0.9619427461529,1
-_MSTRG.44840,NA,NA
AC007786.1_MSTRG.44044,0.728094972012002,1
-_MSTRG.31397,NA,NA
-_MSTRG.59710,NA,NA
-_MSTRG.50839,NA,NA
-_MSTRG.69028,NA,NA
-_MSTRG.16062,NA,NA
-_MSTRG.25049,NA,NA
-_MSTRG.39079,NA,NA
DPH3P1_MSTRG.55765,0.551825551786425,1
-_MSTRG.77416,NA,NA
KRT8P49_MSTRG.13822,0.000122189580851182,0.00469214276266101
AL035666.1_MSTRG.54788,0.629389982529867,1
-_MSTRG.84224,NA,NA
-_MSTRG.45175,NA,NA
-_MSTRG.49485,NA,NA
AC004900.1_MSTRG.27428,0.0472006451627172,0.559772846652814
-_MSTRG.3840,NA,NA
-_MSTRG.52268,NA,NA
F11-AS1_MSTRG.69017,0.82336121878685,1
-_MSTRG.21894,NA,NA
AC006023.2_MSTRG.80221,0.703621930846839,1
-_MSTRG.3830,NA,NA
-_MSTRG.74516,NA,NA
RPL9P28_MSTRG.38489,0.00301401371603856,0.065707056639468
-_MSTRG.71555,NA,NA
-_MSTRG.35971,NA,NA
-_MSTRG.7400,NA,NA
-_MSTRG.39429,NA,NA
-_MSTRG.9940,NA,NA
-_MSTRG.56988,NA,NA
ACP7_MSTRG.44621,0.0994127631705134,0.969176797223235
Metazoa_SRP_MSTRG.31142,0.594266169938098,1
AC074117.2_MSTRG.47062,0.857957989168137,1
AC024451.4_MSTRG.85631,0.0178705081224712,0.27204962635811
RBM17P4_MSTRG.29483,0.23195324726474,1
-_MSTRG.7634,NA,NA
-_MSTRG.85094,NA,NA
-_MSTRG.48888,NA,NA
-_MSTRG.71180,NA,NA
-_MSTRG.25755,NA,NA
-_MSTRG.89327,NA,NA
-_MSTRG.85644,NA,NA
