fetures,p-val
H2AFB2_MSTRG.95711,0.06896917533880305
-_MSTRG.38927,
-_MSTRG.54107,
-_MSTRG.40679,
-_MSTRG.26885,
-_MSTRG.54210,
AC006210.2_MSTRG.92641,0.841544958173589
-_MSTRG.9814,
AL606490.9_MSTRG.93107,0.44818377736183623
-_MSTRG.73000,
RN7SL130P_MSTRG.3380,0.8121936931268209
ACTBP8_MSTRG.76924,0.39163504903499535
FRG2KP_MSTRG.33828,0.008027198905782131
AC011753.3_MSTRG.49529,0.9597135631462062
-_MSTRG.83460,
RPS7P12_MSTRG.95103,0.3138020660386731
-_MSTRG.55115,
-_MSTRG.47331,
-_MSTRG.7343,
-_MSTRG.51225,
UBE2NL_MSTRG.95315,0.02038557422484365
-_MSTRG.35034,
-_MSTRG.73211,
-_MSTRG.62268,
HMGN2P21_MSTRG.48277,0.7063196095112908
-_MSTRG.79335,
-_MSTRG.6058,
AP001596.1_MSTRG.56428,0.31353427597288036
Z94721.3_MSTRG.78872,0.6663616806528361
AP005131.6_MSTRG.40684,0.28297671718616213
-_MSTRG.44682,
-_MSTRG.27556,
SCOCP1_MSTRG.27029,0.13725795391015153
-_MSTRG.26695,
-_MSTRG.9995,
-_MSTRG.74861,
-_MSTRG.30624,
AC140847.2_MSTRG.19816,0.11965932819973453
-_MSTRG.52080,
AL691432.1_MSTRG.515,0.610638984149384
-_MSTRG.83004,
-_MSTRG.17406,
-_MSTRG.84654,
FOSL1P1_MSTRG.67697,0.5537482013954687
-_MSTRG.19460,
-_MSTRG.39252,
-_MSTRG.11326,
HCG4P8_MSTRG.75062,0.6598432794687643
MIR4766_MSTRG.58858,0.9649570495694281
Z69890.1_MSTRG.32158,0.7957969322886073
PPIAP65_MSTRG.50115,0.49166648709991134
-_MSTRG.84843,
-_MSTRG.54003,
-_MSTRG.16825,
-_MSTRG.63906,
B3GALT2_MSTRG.7261,0.0003247103642930241
AP000553.6_MSTRG.57816,0.010881581546484666
-_MSTRG.580,
-_MSTRG.77619,
-_MSTRG.11924,
-_MSTRG.72023,
-_MSTRG.1805,0.960836264811653
FAR1-IT1_MSTRG.14233,0.9231365183817142
-_MSTRG.41402,
-_MSTRG.49587,
-_MSTRG.76191,
HSPE1P8_MSTRG.2387,0.5443971687241171
-_MSTRG.27613,
SSBP3-AS1_MSTRG.3127,0.3781121545827807
-_MSTRG.53901,
DEFB131C_MSTRG.84376,0.14719614995310182
-_MSTRG.82439,
-_MSTRG.86559,
-_MSTRG.50214,
AP002433.1_MSTRG.17606,0.9300748190586076
AC021066.2_MSTRG.20382,0.5754159129436924
-_MSTRG.64346,
-_MSTRG.26389,
-_MSTRG.9573,
-_MSTRG.83391,
H2AFZP2_MSTRG.86233,0.18754809753928933
-_MSTRG.87980,
-_MSTRG.51629,
ZRANB2-AS1_MSTRG.3571,0.006671044160549973
-_MSTRG.20985,
-_MSTRG.23652,
-_MSTRG.59419,
-_MSTRG.70479,
Y_RNA_MSTRG.28241,0.06769531543239052
-_MSTRG.81416,
-_MSTRG.27245,
NMRAL2P_MSTRG.64106,0.2518814878823378
RPL7P18_MSTRG.71517,0.18195152032912634
-_MSTRG.30065,
-_MSTRG.59030,
-_MSTRG.63947,
-_MSTRG.11349,
-_MSTRG.37191,
AL163973.1_MSTRG.26240,0.2945929965580115
CALR4P_MSTRG.2953,0.6563541990860413
AC015720.2_MSTRG.31059,0.06232587104496144
-_MSTRG.71810,
-_MSTRG.19724,
AC099791.2_MSTRG.3302,0.46063906547804256
KRT8P20_MSTRG.80177,0.4033281819461386
-_MSTRG.25856,
-_MSTRG.50284,
PRSS29P_MSTRG.32281,0.2258429764847747
SPTLC1P5_MSTRG.24765,0.5085989645373692
-_MSTRG.69072,
-_MSTRG.38943,
-_MSTRG.19182,
RPL7AP14_MSTRG.54635,0.9462732884424915
-_MSTRG.23704,
AC092338.3_MSTRG.33303,0.9384560969717531
-_MSTRG.79039,
-_MSTRG.40813,
OR7E126P_MSTRG.16459,0.2936247009109646
-_MSTRG.87681,
-_MSTRG.30041,
TRAJ25_MSTRG.25925,0.27287232063543504
-_MSTRG.49222,
AL353708.1_MSTRG.6911,0.5847752931201102
ANKRD20A21P_MSTRG.54285,0.36435937895143267
-_MSTRG.36558,
AC002553.2_MSTRG.36543,0.9234101841522853
Y_RNA_MSTRG.66704,0.6295180712772749
YES1P1_MSTRG.58145,0.7458007541498024
-_MSTRG.72789,
-_MSTRG.19122,
-_MSTRG.3717,
AC025287.3_MSTRG.35164,0.5696939908893546
-_MSTRG.20679,
-_MSTRG.94885,
-_MSTRG.67246,
-_MSTRG.68377,
-_MSTRG.56460,
-_MSTRG.56488,
-_MSTRG.92386,
AC005839.1_MSTRG.38679,0.2630616219588947
-_MSTRG.42385,
TAFA1_MSTRG.61261,0.4204053863476258
RPS26P38_MSTRG.11885,0.9944088967181296
PRR26_MSTRG.9346,0.15737307231590467
-_MSTRG.11686,
RNU6-35P_MSTRG.67274,0.9024742883927694
POTEH_MSTRG.57435,0.7000620615639153
-_MSTRG.38100,
-_MSTRG.75685,
-_MSTRG.67896,
MIR3907_MSTRG.83677,0.6477942011641203
-_MSTRG.83714,
-_MSTRG.49143,
-_MSTRG.83931,
-_MSTRG.74568,
