fetures,p.val,p.adjust
-_MSTRG.6883,NA,NA
-_MSTRG.75608,NA,NA
-_MSTRG.32077,NA,NA
-_MSTRG.17354,NA,NA
-_MSTRG.25836,NA,NA
PNPLA1_MSTRG.75548,0.490661709814398,1
-_MSTRG.84832,NA,NA
-_MSTRG.545,0.151462164751839,1
-_MSTRG.60226,NA,NA
-_MSTRG.70100,NA,NA
AC011491.2_MSTRG.42648,0.726765171705832,1
-_MSTRG.55911,NA,NA
MIMT1_MSTRG.46125,0.594003835251131,1
-_MSTRG.27405,NA,NA
CLEC4GP1_MSTRG.42758,0.852441654309799,1
-_MSTRG.30822,NA,NA
MIR3117_MSTRG.3454,0.963203661473895,1
-_MSTRG.32650,NA,NA
-_MSTRG.4251,0.600663708481455,1
-_MSTRG.71101,NA,NA
-_MSTRG.66816,NA,NA
-_MSTRG.17030,NA,NA
PPIAP58_MSTRG.44074,0.634124407549031,1
-_MSTRG.14051,NA,NA
RNY1P14_MSTRG.67960,0.119143682871437,1
AC023310.2_MSTRG.28905,0.721910144249984,1
-_MSTRG.31504,NA,NA
-_MSTRG.47514,NA,NA
AL162385.2_MSTRG.90444,0.477277458874587,1
AC104561.4_MSTRG.84753,0.568051014090015,1
-_MSTRG.20204,NA,NA
AL035425.1_MSTRG.94504,0.109339986040297,1
-_MSTRG.89324,NA,NA
-_MSTRG.82138,NA,NA
-_MSTRG.92762,NA,NA
UBE2D3P2_MSTRG.60210,0.621719108374315,1
-_MSTRG.8228,NA,NA
RNU6-388P_MSTRG.80004,0.724092459844816,1
GGTA2P_MSTRG.21061,0.142142624473046,1
-_MSTRG.38658,NA,NA
-_MSTRG.31903,NA,NA
AC079089.1_MSTRG.86223,0.0117018079307113,0.266970830583628
MIR6071_MSTRG.48651,0.302275142611881,1
-_MSTRG.86352,NA,NA
-_MSTRG.91857,NA,NA
-_MSTRG.3685,0.57218766157509,1
KRT3_MSTRG.20435,NA,NA
-_MSTRG.73479,NA,NA
HMGN1P7_MSTRG.61623,0.582194303330037,1
-_MSTRG.29447,NA,NA
-_MSTRG.56552,NA,NA
-_MSTRG.56213,NA,NA
-_MSTRG.12082,NA,NA
-_MSTRG.95184,NA,NA
-_MSTRG.36032,NA,NA
-_MSTRG.85994,NA,NA
-_MSTRG.36284,NA,NA
-_MSTRG.60574,NA,NA
AL359715.1_MSTRG.76711,0.0302817807951223,0.50133698628785
AC097721.1_MSTRG.50440,0.588452880577163,1
-_MSTRG.71569,NA,NA
UMODL1-AS1_MSTRG.57044,0.314396842259529,1
-_MSTRG.59457,NA,NA
-_MSTRG.51076,NA,NA
AC079598.3_MSTRG.21561,0.0218555199942014,0.40668427676903
-_MSTRG.45048,NA,NA
LINC00412_MSTRG.23653,0.464705052036515,1
-_MSTRG.24273,NA,NA
-_MSTRG.52654,NA,NA
-_MSTRG.45716,NA,NA
-_MSTRG.68022,NA,NA
-_MSTRG.76782,NA,NA
-_MSTRG.64613,NA,NA
-_MSTRG.1496,0.0743712595832716,0.893326077158137
-_MSTRG.58406,NA,NA
-_MSTRG.87614,NA,NA
-_MSTRG.72848,NA,NA
-_MSTRG.62694,NA,NA
AC003956.1_MSTRG.43336,0.952803342576232,1
-_MSTRG.23314,NA,NA
AL513365.2_MSTRG.1706,0.468058535973743,1
-_MSTRG.88551,NA,NA
-_MSTRG.64157,NA,NA
-_MSTRG.49618,NA,NA
-_MSTRG.54542,NA,NA
-_MSTRG.80969,NA,NA
-_MSTRG.75282,NA,NA
-_MSTRG.48589,NA,NA
-_MSTRG.12052,NA,NA
-_MSTRG.81779,NA,NA
AC004943.1_MSTRG.35070,0.256147493968472,1
-_MSTRG.72385,NA,NA
-_MSTRG.67273,NA,NA
-_MSTRG.61753,NA,NA
RNU6-1003P_MSTRG.69669,0.152330221441253,1
-_MSTRG.12072,NA,NA
-_MSTRG.49911,NA,NA
-_MSTRG.17272,NA,NA
-_MSTRG.61802,NA,NA
U47924.3_MSTRG.18900,0.041060596049675,0.610970082454846
-_MSTRG.71187,NA,NA
-_MSTRG.83919,NA,NA
H2AFB2_MSTRG.95711,0.068969175338803,0.852335197052473
-_MSTRG.38927,NA,NA
-_MSTRG.54107,NA,NA
-_MSTRG.40679,NA,NA
-_MSTRG.26885,NA,NA
-_MSTRG.54210,NA,NA
AC006210.2_MSTRG.92641,0.841544958173589,1
-_MSTRG.9814,NA,NA
AL606490.9_MSTRG.93107,0.448183777361836,1
-_MSTRG.73000,NA,NA
RN7SL130P_MSTRG.3380,0.812193693126821,1
ACTBP8_MSTRG.76924,0.391635049034995,1
FRG2KP_MSTRG.33828,0.00802719890578213,0.209541682327669
AC011753.3_MSTRG.49529,0.959713563146206,1
-_MSTRG.83460,NA,NA
RPS7P12_MSTRG.95103,0.313802066038673,1
-_MSTRG.55115,NA,NA
-_MSTRG.47331,NA,NA
-_MSTRG.7343,NA,NA
-_MSTRG.51225,NA,NA
UBE2NL_MSTRG.95315,0.0203855742248437,0.389291563196381
-_MSTRG.35034,NA,NA
-_MSTRG.73211,NA,NA
-_MSTRG.62268,NA,NA
HMGN2P21_MSTRG.48277,0.706319609511291,1
-_MSTRG.79335,NA,NA
-_MSTRG.6058,NA,NA
AP001596.1_MSTRG.56428,0.31353427597288,1
Z94721.3_MSTRG.78872,0.666361680652836,1
AP005131.6_MSTRG.40684,0.282976717186162,1
-_MSTRG.44682,NA,NA
-_MSTRG.27556,NA,NA
SCOCP1_MSTRG.27029,0.137257953910152,1
-_MSTRG.26695,NA,NA
-_MSTRG.9995,NA,NA
-_MSTRG.74861,NA,NA
-_MSTRG.30624,NA,NA
AC140847.2_MSTRG.19816,0.119659328199735,1
-_MSTRG.52080,NA,NA
AL691432.1_MSTRG.515,0.610638984149384,1
-_MSTRG.83004,NA,NA
-_MSTRG.17406,NA,NA
-_MSTRG.84654,NA,NA
FOSL1P1_MSTRG.67697,0.553748201395469,1
-_MSTRG.19460,NA,NA
-_MSTRG.39252,NA,NA
-_MSTRG.11326,NA,NA
HCG4P8_MSTRG.75062,0.659843279468764,1
MIR4766_MSTRG.58858,0.964957049569428,1
Z69890.1_MSTRG.32158,0.795796932288607,1
PPIAP65_MSTRG.50115,0.491666487099911,1
-_MSTRG.84843,NA,NA
-_MSTRG.54003,NA,NA
-_MSTRG.16825,NA,NA
-_MSTRG.63906,NA,NA
B3GALT2_MSTRG.7261,0.000324710364293024,0.0230599023692541
AP000553.6_MSTRG.57816,0.0108815815464847,0.254168679931843
-_MSTRG.580,NA,NA
-_MSTRG.77619,NA,NA
-_MSTRG.11924,NA,NA
-_MSTRG.72023,NA,NA
-_MSTRG.1805,0.960836264811653,1
FAR1-IT1_MSTRG.14233,0.923136518381714,1
-_MSTRG.41402,NA,NA
-_MSTRG.49587,NA,NA
-_MSTRG.76191,NA,NA
HSPE1P8_MSTRG.2387,0.544397168724117,1
-_MSTRG.27613,NA,NA
SSBP3-AS1_MSTRG.3127,0.378112154582781,1
-_MSTRG.53901,NA,NA
DEFB131C_MSTRG.84376,0.147196149953102,1
-_MSTRG.82439,NA,NA
-_MSTRG.86559,NA,NA
-_MSTRG.50214,NA,NA
AP002433.1_MSTRG.17606,0.930074819058608,1
AC021066.2_MSTRG.20382,0.575415912943692,1
-_MSTRG.64346,NA,NA
-_MSTRG.26389,NA,NA
-_MSTRG.9573,NA,NA
-_MSTRG.83391,NA,NA
H2AFZP2_MSTRG.86233,0.187548097539289,1
-_MSTRG.87980,NA,NA
-_MSTRG.51629,NA,NA
ZRANB2-AS1_MSTRG.3571,0.00667104416054997,0.184653101619843
-_MSTRG.20985,NA,NA
-_MSTRG.23652,NA,NA
-_MSTRG.59419,NA,NA
-_MSTRG.70479,NA,NA
Y_RNA_MSTRG.28241,0.0676953154323905,0.842870832466948
-_MSTRG.81416,NA,NA
-_MSTRG.27245,NA,NA
NMRAL2P_MSTRG.64106,0.251881487882338,1
RPL7P18_MSTRG.71517,0.181951520329126,1
-_MSTRG.30065,NA,NA
-_MSTRG.59030,NA,NA
-_MSTRG.63947,NA,NA
-_MSTRG.11349,NA,NA
-_MSTRG.37191,NA,NA
AL163973.1_MSTRG.26240,0.294592996558012,1
CALR4P_MSTRG.2953,0.656354199086041,1
AC015720.2_MSTRG.31059,0.0623258710449614,0.803264168542903
-_MSTRG.71810,NA,NA
-_MSTRG.19724,NA,NA
AC099791.2_MSTRG.3302,0.460639065478043,1
KRT8P20_MSTRG.80177,0.403328181946139,1
-_MSTRG.25856,NA,NA
-_MSTRG.50284,NA,NA
PRSS29P_MSTRG.32281,0.225842976484775,1
SPTLC1P5_MSTRG.24765,0.508598964537369,1
-_MSTRG.69072,NA,NA
-_MSTRG.38943,NA,NA
-_MSTRG.19182,NA,NA
RPL7AP14_MSTRG.54635,0.946273288442491,1
-_MSTRG.23704,NA,NA
AC092338.3_MSTRG.33303,0.938456096971753,1
-_MSTRG.79039,NA,NA
-_MSTRG.40813,NA,NA
OR7E126P_MSTRG.16459,0.293624700910965,1
-_MSTRG.87681,NA,NA
-_MSTRG.30041,NA,NA
TRAJ25_MSTRG.25925,0.272872320635435,1
-_MSTRG.49222,NA,NA
AL353708.1_MSTRG.6911,0.58477529312011,1
ANKRD20A21P_MSTRG.54285,0.364359378951433,1
-_MSTRG.36558,NA,NA
AC002553.2_MSTRG.36543,0.923410184152285,1
Y_RNA_MSTRG.66704,0.629518071277275,1
YES1P1_MSTRG.58145,0.745800754149802,1
-_MSTRG.72789,NA,NA
-_MSTRG.19122,NA,NA
-_MSTRG.3717,NA,NA
AC025287.3_MSTRG.35164,0.569693990889355,1
-_MSTRG.20679,NA,NA
-_MSTRG.94885,NA,NA
-_MSTRG.67246,NA,NA
-_MSTRG.68377,NA,NA
-_MSTRG.56460,NA,NA
-_MSTRG.56488,NA,NA
-_MSTRG.92386,NA,NA
AC005839.1_MSTRG.38679,0.263061621958895,1
-_MSTRG.42385,NA,NA
TAFA1_MSTRG.61261,0.420405386347626,1
RPS26P38_MSTRG.11885,0.99440889671813,1
PRR26_MSTRG.9346,0.157373072315905,1
-_MSTRG.11686,NA,NA
RNU6-35P_MSTRG.67274,0.902474288392769,1
POTEH_MSTRG.57435,0.700062061563915,1
-_MSTRG.38100,NA,NA
-_MSTRG.75685,NA,NA
-_MSTRG.67896,NA,NA
MIR3907_MSTRG.83677,0.64779420116412,1
-_MSTRG.83714,NA,NA
-_MSTRG.49143,NA,NA
-_MSTRG.83931,NA,NA
-_MSTRG.74568,NA,NA
-_MSTRG.72847,NA,NA
-_MSTRG.78860,NA,NA
AL583856.2_MSTRG.76464,0.970429408807431,1
AL162414.1_MSTRG.90783,0.371908854131751,1
-_MSTRG.21968,NA,NA
TRAJ61_MSTRG.25918,0.139962090226617,1
-_MSTRG.62120,NA,NA
-_MSTRG.27926,NA,NA
PPIAP67_MSTRG.51302,0.135593355608962,1
AC098859.2_MSTRG.67871,0.153613129219028,1
-_MSTRG.26129,NA,NA
AL360091.1_MSTRG.7986,0.440875660341143,1
-_MSTRG.10360,NA,NA
-_MSTRG.53112,NA,NA
-_MSTRG.26442,NA,NA
PIGCP1_MSTRG.14677,0.735670111631088,1
-_MSTRG.29289,NA,NA
ATP5MGL_MSTRG.58994,0.971738361056155,1
-_MSTRG.50022,NA,NA
-_MSTRG.57138,NA,NA
-_MSTRG.27978,NA,NA
RNU6-936P_MSTRG.46920,0.599428383013071,1
-_MSTRG.8196,NA,NA
-_MSTRG.20966,NA,NA
-_MSTRG.64726,NA,NA
AC015909.1_MSTRG.38596,0.199223194171934,1
-_MSTRG.11186,NA,NA
AC010680.5_MSTRG.51397,0.716744222335006,1
-_MSTRG.63980,NA,NA
-_MSTRG.64614,NA,NA
-_MSTRG.51067,NA,NA
-_MSTRG.63463,NA,NA
-_MSTRG.80413,NA,NA
-_MSTRG.77460,NA,NA
AC007563.3_MSTRG.52374,0.0118937483349235,0.2706180581232
RPL17P25_MSTRG.76709,0.715516641247827,1
AP001059.3_MSTRG.57194,0.187493574158532,1
AC234778.1_MSTRG.95279,0.739349265210375,1
-_MSTRG.15602,NA,NA
MIR4744_MSTRG.41423,0.682131507432362,1
-_MSTRG.91883,NA,NA
RNU6-625P_MSTRG.39849,0.992489250227559,1
-_MSTRG.39482,NA,NA
-_MSTRG.58122,NA,NA
-_MSTRG.35649,NA,NA
RNU6-313P_MSTRG.81034,0.861446176954086,1
-_MSTRG.86633,NA,NA
IL13_MSTRG.72327,0.139625079060245,1
-_MSTRG.94251,NA,NA
AL008707.1_MSTRG.94897,0.210753520537738,1
-_MSTRG.64466,NA,NA
-_MSTRG.62692,NA,NA
-_MSTRG.38952,NA,NA
-_MSTRG.12983,NA,NA
AL132640.1_MSTRG.27268,0.756644466806626,1
PPIAP33_MSTRG.88449,0.615929202814505,1
-_MSTRG.47040,NA,NA
-_MSTRG.40503,NA,NA
SNORD113-3_MSTRG.28320,0.600382745493003,1
-_MSTRG.38973,NA,NA
-_MSTRG.80329,NA,NA
-_MSTRG.90151,NA,NA
-_MSTRG.51371,NA,NA
-_MSTRG.13645,NA,NA
AL158032.1_MSTRG.23446,0.662187916717551,1
-_MSTRG.44840,NA,NA
AC007786.1_MSTRG.44044,0.012380895125031,0.278547029308963
-_MSTRG.31397,NA,NA
-_MSTRG.59710,NA,NA
-_MSTRG.50839,NA,NA
-_MSTRG.69028,NA,NA
-_MSTRG.16062,NA,NA
-_MSTRG.25049,NA,NA
-_MSTRG.39079,NA,NA
DPH3P1_MSTRG.55765,0.970627839090192,1
-_MSTRG.77416,NA,NA
KRT8P49_MSTRG.13822,0.492366588533156,1
AL035666.1_MSTRG.54788,0.344634556813642,1
-_MSTRG.84224,NA,NA
-_MSTRG.45175,NA,NA
-_MSTRG.49485,NA,NA
AC004900.1_MSTRG.27428,0.264589604116163,1
-_MSTRG.3840,0.607082588323548,1
-_MSTRG.52268,NA,NA
F11-AS1_MSTRG.69017,0.00237337703524247,0.089631635501046
-_MSTRG.21894,NA,NA
