fetures,p-val
-_MSTRG.60226,
-_MSTRG.70100,
AC011491.2_MSTRG.42648,0.018691194095429835
-_MSTRG.55911,
MIMT1_MSTRG.46125,0.02722938472622599
-_MSTRG.27405,
CLEC4GP1_MSTRG.42758,0.034407967042686914
-_MSTRG.30822,
MIR3117_MSTRG.3454,0.44250738829267977
-_MSTRG.32650,
-_MSTRG.4251,
-_MSTRG.71101,
-_MSTRG.66816,
-_MSTRG.17030,
PPIAP58_MSTRG.44074,0.006354427827171799
-_MSTRG.14051,
RNY1P14_MSTRG.67960,0.8689561829970538
AC023310.2_MSTRG.28905,0.674151737301602
-_MSTRG.31504,
-_MSTRG.47514,
AL162385.2_MSTRG.90444,0.26613532089852837
AC104561.4_MSTRG.84753,0.13409679774110667
-_MSTRG.20204,
AL035425.1_MSTRG.94504,0.9464295362950453
-_MSTRG.89324,
-_MSTRG.82138,
-_MSTRG.92762,
UBE2D3P2_MSTRG.60210,0.7898828794243794
-_MSTRG.8228,
RNU6-388P_MSTRG.80004,0.9877878103303783
GGTA2P_MSTRG.21061,0.00035810413972865485
-_MSTRG.38658,
-_MSTRG.31903,
AC079089.1_MSTRG.86223,8.300558413077716e-12
MIR6071_MSTRG.48651,0.7156849639165879
-_MSTRG.86352,
-_MSTRG.91857,
-_MSTRG.3685,
KRT3_MSTRG.20435,0.0008101331243766435
-_MSTRG.73479,
HMGN1P7_MSTRG.61623,0.007927585682407744
-_MSTRG.29447,
-_MSTRG.56552,
-_MSTRG.56213,
-_MSTRG.12082,
-_MSTRG.95184,
-_MSTRG.36032,
-_MSTRG.85994,
-_MSTRG.36284,
-_MSTRG.60574,
AL359715.1_MSTRG.76711,8.397132162618419e-06
AC097721.1_MSTRG.50440,0.36251653721903276
-_MSTRG.71569,
UMODL1-AS1_MSTRG.57044,0.23425668830107826
-_MSTRG.59457,
-_MSTRG.51076,
AC079598.3_MSTRG.21561,0.006617965709606595
-_MSTRG.45048,
LINC00412_MSTRG.23653,0.39707140848491307
-_MSTRG.24273,
-_MSTRG.52654,
-_MSTRG.45716,
-_MSTRG.68022,
-_MSTRG.76782,
-_MSTRG.64613,
-_MSTRG.1496,
-_MSTRG.58406,
-_MSTRG.87614,
-_MSTRG.72848,
-_MSTRG.62694,
AC003956.1_MSTRG.43336,3.439228476399952e-05
-_MSTRG.23314,
AL513365.2_MSTRG.1706,0.21929091170351564
-_MSTRG.88551,
-_MSTRG.64157,
-_MSTRG.49618,
-_MSTRG.54542,
-_MSTRG.80969,
-_MSTRG.75282,
-_MSTRG.48589,
-_MSTRG.12052,
-_MSTRG.81779,
AC004943.1_MSTRG.35070,0.45797654894394313
-_MSTRG.72385,
-_MSTRG.67273,
-_MSTRG.61753,
RNU6-1003P_MSTRG.69669,0.24902688002657614
-_MSTRG.12072,
-_MSTRG.49911,
-_MSTRG.17272,
-_MSTRG.61802,
U47924.3_MSTRG.18900,0.6419132559153063
-_MSTRG.71187,
-_MSTRG.83919,
H2AFB2_MSTRG.95711,0.5876874561508187
-_MSTRG.38927,
-_MSTRG.54107,
-_MSTRG.40679,
-_MSTRG.26885,
-_MSTRG.54210,
AC006210.2_MSTRG.92641,0.014152215440975446
-_MSTRG.9814,
AL606490.9_MSTRG.93107,0.0010267103850757993
-_MSTRG.73000,
RN7SL130P_MSTRG.3380,0.9794077806922074
ACTBP8_MSTRG.76924,0.14389061173909967
FRG2KP_MSTRG.33828,0.6319492340618336
AC011753.3_MSTRG.49529,0.6772774093496656
-_MSTRG.83460,
RPS7P12_MSTRG.95103,0.001288174642707045
-_MSTRG.55115,
-_MSTRG.47331,
-_MSTRG.7343,
-_MSTRG.51225,
UBE2NL_MSTRG.95315,4.8890944170710556e-05
-_MSTRG.35034,
-_MSTRG.73211,
-_MSTRG.62268,
HMGN2P21_MSTRG.48277,0.2722185464030083
-_MSTRG.79335,
-_MSTRG.6058,
AP001596.1_MSTRG.56428,0.07807611686861005
Z94721.3_MSTRG.78872,0.9920209771492005
AP005131.6_MSTRG.40684,0.008275265479587767
-_MSTRG.44682,
-_MSTRG.27556,
SCOCP1_MSTRG.27029,0.8495568463354337
-_MSTRG.26695,
-_MSTRG.9995,
-_MSTRG.74861,
-_MSTRG.30624,
AC140847.2_MSTRG.19816,0.1437739025549334
-_MSTRG.52080,
AL691432.1_MSTRG.515,0.18011561967949974
-_MSTRG.83004,
-_MSTRG.17406,
-_MSTRG.84654,
FOSL1P1_MSTRG.67697,0.8053295612429895
-_MSTRG.19460,
-_MSTRG.39252,
-_MSTRG.11326,
HCG4P8_MSTRG.75062,0.9526728405319244
MIR4766_MSTRG.58858,0.053807596830605806
Z69890.1_MSTRG.32158,0.010829227242236625
PPIAP65_MSTRG.50115,3.801674927084712e-05
-_MSTRG.84843,
